cond, k, gepp_error, iter_error
1.2575e+06, 2, 4.0290e-22, 1.0145e-26
4.8174e+06, 2, 5.4847e-22, 3.7330e-27
2.2706e+02, 2, 5.7725e-31, 2.2029e-30
9.0663e+05, 2, 7.8061e-27, 3.3409e-27
5.6999e+07, 2, 7.0178e-21, 2.5498e-25
1.6499e+13, 2, 2.1792e-10, 2.8676e-21
4.1591e+00, 2, 3.4303e-31, 8.4547e-32
6.2844e+08, 2, 3.3535e-15, 6.4532e-23
9.3651e+12, 2, 4.8289e-10, 4.0915e-21
1.0978e+15, 2, 2.9270e-04, 2.8785e-17
3.2102e+11, 2, 3.3657e-11, 1.2651e-21
7.3667e+11, 2, 1.3593e-10, 1.7358e-20
5.0920e+08, 2, 4.7930e-20, 2.8545e-25
1.2768e+15, 2, 5.7241e-06, 7.3232e-18
5.5366e+04, 2, 2.9288e-26, 1.9296e-27
7.7892e+05, 2, 1.6176e-24, 1.6377e-27
2.8854e+07, 2, 4.7950e-22, 1.0263e-25
7.8518e+05, 2, 1.6246e-22, 3.4186e-27
1.8257e+02, 2, 6.7398e-30, 4.0081e-31
1.0442e+04, 2, 1.9433e-24, 1.0131e-27
4.5038e+13, 2, 2.0571e-10, 9.5856e-20
1.6567e+00, 2, 4.9352e-32, 1.6027e-32
2.8089e+00, 2, 7.8858e-32, 1.4805e-32
8.6896e+04, 2, 2.1531e-28, 1.6350e-28
2.1860e+04, 2, 2.2867e-28, 6.7595e-29
8.2485e+10, 2, 4.3909e-15, 4.1420e-22
2.7253e+03, 2, 3.8993e-30, 8.6689e-30
1.7920e+00, 2, 4.0065e-32, 4.0065e-32
2.5406e+11, 2, 3.1449e-16, 8.1294e-22
1.6905e+05, 2, 6.0784e-26, 7.1668e-28
4.5521e+01, 2, 3.9602e-32, 2.7309e-31
8.4843e+11, 2, 3.5175e-13, 3.5701e-21
2.3065e+00, 2, 4.2219e-32, 4.2219e-32
2.2188e+09, 2, 1.1595e-14, 5.3865e-24
3.1370e+14, 2, 4.7079e-06, 4.8251e-18
6.1718e+09, 2, 1.6293e-16, 8.3387e-23
3.5052e+03, 2, 5.1296e-29, 1.5876e-29
6.0265e+16, 2, 2.8073e-04, 8.5626e-17
3.5794e+03, 2, 1.3553e-29, 2.3125e-29
5.8503e+11, 2, 3.2901e-07, 2.2718e-19
3.7240e+07, 2, 2.2369e-19, 3.7407e-25
1.4230e+13, 2, 1.0051e-09, 2.2601e-20
2.2502e+14, 2, 5.0175e-07, 1.8129e-19
3.5935e+03, 2, 4.7734e-29, 1.4483e-29
8.2393e+08, 2, 1.1178e-16, 2.1769e-23
6.8472e+12, 2, 1.0052e-12, 1.1064e-20
6.0555e+09, 2, 5.9247e-16, 8.0729e-23
3.4409e+08, 2, 9.2924e-18, 2.7703e-24
2.1982e+12, 2, 3.5242e-12, 1.7001e-20
2.6243e+15, 2, 3.0277e-05, 4.9562e-17
8.5712e+04, 3, 6.5497e-43, 6.3061e-44
1.3016e+11, 3, 2.7797e-24, 3.2831e-38
3.5139e+04, 3, 2.2083e-43, 6.1021e-44
8.9326e+11, 3, 1.6782e-23, 1.0899e-37
3.2016e+08, 3, 5.1067e-35, 8.0953e-40
1.1124e+07, 3, 1.2081e-40, 3.4283e-41
1.7253e+00, 3, 3.2361e-48, 3.2361e-48
8.8959e+14, 3, 9.7471e-13, 3.5883e-34
3.6792e+08, 3, 1.0374e-31, 3.9283e-40
2.9522e+00, 3, 3.5190e-48, 3.5190e-48
4.2384e+07, 3, 8.2566e-39, 2.1606e-42
2.9907e+12, 3, 1.8974e-23, 3.2905e-37
1.1191e+05, 3, 2.0014e-43, 5.2317e-44
4.1441e+10, 3, 2.3673e-31, 1.4739e-38
1.6939e+08, 3, 8.1586e-37, 5.7408e-40
8.1191e+00, 3, 2.9547e-47, 2.8143e-48
